title,name
Alaala                        ,Gina Alajar                                                                                              
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alaala kita                   ,Manuel Conde                                                                                             
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alab                          ,Janis Piopongco                                                                                          
Alaala                        ,Rechie Del Carmen                                                                                        
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
