movieid,title,name
tt9490014,Alaala                        ,Gina Alajar                                                                                              
tt0075653,Alaap                         ,Hrishikesh Mukherjee                                                                                     
tt0371517,Alaala ng lumipas             ,Mar S. Torres                                                                                            
tt9684186,Alaala ni Fe                  ,Don Michael Perez                                                                                        
tt9451852,Alaala ni Elias               ,Don Michael Perez                                                                                        
tt0408477,Alab                          ,Janis Piopongco                                                                                          
tt8415576,Alaala ng ina                 ,Albert Langitan                                                                                          
tt6502832,Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
tt5955560,Alaala ng alon                ,Liryc Dela Cruz                                                                                          
tt0356340,Alaala kita                   ,Cesar Gallardo                                                                                           
tt2992266,Alaan                         ,Gulzar                                                                                                   
tt0777725,Alaala kita                   ,Manuel Conde                                                                                             
tt6502832,Alaaf auf hoher See           ,Sibylle Nies                                                                                             
tt0408477,Alab                          ,Ana Cristina Ganzon                                                                                      
tt6793384,Alab                          ,Mark A. Reyes                                                                                            
tt6109688,Alaala                        ,Mark A. Reyes                                                                                            
tt2114344,Aláàló (Someone has a Story   ,David Adeogun                                                                                            
tt6502832,Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
tt9684186,Alaala ni Fe                  ,Toto Natividad                                                                                           
tt9451852,Alaala ni Elias               ,Toto Natividad                                                                                           
tt1204223,Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
tt1087554,Alaala kita                   ,Armando Garces                                                                                           
tt0777726,Alaalang banal                ,Armando Garces                                                                                           
tt5362116,Alaaf You                     ,Baris Aladag                                                                                             
tt7986098,Alaala                        ,Rechie Del Carmen                                                                                        
tt8685978,Alaa                          ,Manohar Chimmani                                                                                         
